"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1144",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1145","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",4
"1146","which","ADJD.Pos","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",4
"1147","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",4
"1148","fhall","FM","VVZ","fhall","fhall","fhall",1,"fhall",NA,NA,NA,NA,NA,4
"1149","ſpeak","FM","NN","speak",NA,"speak",0,NA,"speak",NA,NA,NA,"speak",4
"1150","hereafter","FM","NN","hereafter","hereafter","hereafter",0,NA,"hereafter",NA,NA,NA,"hereafter",4
"1151",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",4
"1152","It","FM","PP","It",NA,"It",0,NA,"It",NA,NA,NA,"It",4
"1153","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",4
"1154","alſo","FM","NN","also",NA,"also",0,NA,"also",NA,NA,NA,"also",4
"1155","pronounced","FM","VVN","pronounced",NA,"pronounced",0,NA,"pronounced",NA,NA,NA,"pronounced",4
"1156","weak","FM","JJ","weak",NA,"weak",0,NA,"weak",NA,NA,NA,"weak",4
"1157","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",4
"1158","fhort","VFIN.Full.3.Sg.Pres.Ind","NN","fhort","fhort","fhort",1,"fhort",NA,NA,NA,NA,NA,4
"1159","when","FM","WRB","when",NA,"when",0,NA,"when",NA,NA,NA,"when",4
"1160","ll","FM","NNS","ll",NA,"ll",1,"ll",NA,NA,"ll",NA,"ll",4
"1161","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",4
"1162","nn","FM","NNS","nn",NA,"nn",1,"nn",NA,NA,"nn",NA,"nn",4
"1163","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA,NA,"are",4
"1164","parted","FM","VVN","parted",NA,"parted",0,NA,"parted",NA,NA,NA,"parted",4
"1165","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",4
"1166","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",4
"1167","Middle","FM","NN","Middle",NA,"Middle",0,NA,"Middle",NA,NA,NA,"Middle",4
"1168","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",4
"1169","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",4
"1170","Word","FM","NP","Word",NA,"Word",0,NA,"Word",NA,NA,NA,"Word",4
"1171",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1172","as","ADV","RB","as",NA,"as",0,NA,"as",NA,NA,NA,"as",4
"1173",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1174","dally","FM","VV","dally",NA,"dally",0,NA,"dally",NA,NA,NA,"dally",4
"1175",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1176","rally","FM","NN","rally",NA,"rally",0,NA,"rally",NA,NA,NA,"rally",4
"1177",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1178","Pannic","N.Name.Nom.Sg.Masc","NP","Pannic",NA,"Pannic",1,"Pannic",NA,NA,NA,NA,NA,4
"1179",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1180","Fanny","N.Name.Nom.Sg.Fem","NP","Fanny",NA,"Fanny",0,NA,"Fanny",NA,NA,NA,"Fanny",4
"1181",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1182","&","FM","CC","&",NA,"&",0,NA,"&",NA,NA,NA,"&",4
"1183","c","FM","LS","c",NA,"c",0,NA,"c",NA,NA,NA,"c",4
"1184",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",4
"1185","It","FM","PP","It",NA,"It",0,NA,"It",NA,NA,NA,"It",4
"1186","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",4
"1187","fhort","VFIN.Full.3.Sg.Pres.Ind","NN","fhort","fhort","fhort",1,"fhort",NA,NA,NA,NA,NA,4
"1188","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",4
"1189","Monoſyllables","FM","NP","Monosyllables",NA,"Monosyllables",1,"Monosyllables",NA,NA,NA,NA,NA,4
"1190","not","PART.Verb","RB","not",NA,"not",0,NA,"not",NA,NA,NA,"not",4
"1191","ending","FM","VVG","ending",NA,"ending",0,NA,"ending",NA,NA,NA,"ending",4
"1192","with","FM","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with",4
"1193","e","FM","NN","e",NA,"e",0,NA,"e",NA,NA,NA,"e",4
"1194",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1195","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",4
"1196","mad","N.Name.Nom.Sg.*","JJ","mad",NA,"mad",0,NA,"mad",NA,NA,NA,"mad",4
"1197",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1198","had","VFIN.Full.3.Sg.Past.Ind","VHD","had",NA,"had",0,NA,"had",NA,NA,NA,"had",4
"1199",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1200","bat","VFIN.Full.3.Sg.Past.Ind","NN","bat",NA,"bat",0,NA,"bat",NA,NA,NA,"bat",4
"1201",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1202","fat","FM","JJ","fat","fat","fat",0,NA,"fat",NA,NA,NA,"fat",4
"1203",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1204","&","FM","CC","&",NA,"&",0,NA,"&",NA,NA,NA,"&",4
"1205","c","FM","LS","c",NA,"c",0,NA,"c",NA,NA,NA,"c",4
"1206",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",4
"1207","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",4
"1208","in","FM","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",4
"1209","Polxſllables","FM","NP","Polxsllables",NA,"Polxsllables",1,"Polxsllables",NA,NA,NA,NA,NA,4
"1210",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1211","when","FM","WRB","when",NA,"when",0,NA,"when",NA,NA,NA,"when",4
"1212","followed","FM","VVN","followed","followed","followed",1,"followed",NA,NA,NA,NA,NA,4
"1213","by","FM","IN","by",NA,"by",0,NA,"by",NA,NA,NA,"by",4
"1214","two","FM","CD","two",NA,"two",0,NA,"two",NA,NA,NA,"two",4
"1215","Conſonants","FM","NNS","Consonants",NA,"Consonants",1,"Consonants",NA,NA,"Consonants",NA,"Consonants",4
"1216",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1217","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",4
"1218","etel","ADJD.Pos","NN","etel",NA,"etel",1,"etel",NA,NA,NA,NA,NA,4
"1219",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1220","eſtſ","FM","NN","ests",NA,"ests",1,"ests",NA,NA,NA,NA,NA,4
"1221",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1222","admire","FM","VV","admire",NA,"admire",0,NA,"admire",NA,NA,NA,"admire",4
"1223",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1224","ahpire","FM","NN","ahpire",NA,"ahpire",1,"ahpire",NA,NA,NA,NA,NA,4
"1225",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"1226","&","FM","CC","&",NA,"&",0,NA,"&",NA,NA,NA,"&",4
"1227","ec","FM","NP","ec",NA,"ec",0,NA,"ec",NA,NA,NA,"ec",4
"1228",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",4
"1229","1t","FM","NP","1t",NA,"1t",1,"1t",NA,NA,NA,NA,NA,4
"1230","A","SYM.Other.XY","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",5
"1231","Complete","N.Name.Nom.Sg.Fem","JJ","Complete",NA,"Complete",0,NA,"Complete",NA,NA,NA,"Complete",5
"1232","ENcLIsH","N.Name.Nom.Sg.Fem","NP","ENcLIsH",NA,"ENcLIsH",1,"ENcLIsH",NA,NA,NA,NA,NA,5
"1233","GRAMMAR","N.Name.Nom.Sg.*","NN","GRAMMAR",NA,"GRAMMAR",0,NA,"GRAMMAR",NA,NA,NA,"GRAMMAR",5
"1234",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",5
"1235","It","N.Reg.Nom.Sg.Masc","PP","It",NA,"It",0,NA,"It",NA,NA,NA,"It",5
"1236","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",5
"1237","loſt","FM","NN","lost",NA,"lost",0,NA,"lost",NA,NA,NA,"lost",5
"1238","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",5
"1239","funk","VIMP.Full.2.Sg","NN","funk","funk","funk",0,NA,"funk",NA,NA,NA,"funk",5
"1240","at","N.Name.*.*.*","IN","at",NA,"at",0,NA,"at",NA,NA,NA,"at",5
"1241","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",5
"1242","End","N.Name.*.*.*","NN","End",NA,"End",0,NA,"End",NA,NA,NA,"End",5
"1243","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",5
"1244","modt","VPP.Full.Psp","NP","modt",NA,"modt",1,"modt",NA,NA,NA,NA,NA,5
"1245","Words","FM","NNS","Words",NA,"Words",0,NA,"Words",NA,NA,NA,"Words",5
"1246","ternünating","FM","VVG","ternünating",NA,"ternünating",1,"ternünating",NA,NA,NA,NA,NA,5
"1247","in","FM","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",5
"1248","ain","FM","NN","ain",NA,"ain",1,"ain",NA,NA,NA,NA,NA,5
"1249",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1250","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",5
"1251","Bargain","N.Name.Nom.Sg.*","NN","Bargain",NA,"Bargain",0,NA,"Bargain",NA,NA,NA,"Bargain",5
"1252",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1253","Captain","N.Name.*.*.*","NP","Captain",NA,"Captain",0,NA,"Captain",NA,NA,NA,"Captain",5
"1254",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1255","Chaplain","N.Name.Acc.Sg.*","NN","Chaplain",NA,"Chaplain",0,NA,"Chaplain",NA,NA,NA,"Chaplain",5
"1256",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1257","Gurtain","N.Name.Acc.Sg.*","NP","Gurtain",NA,"Gurtain",1,"Gurtain",NA,NA,NA,NA,NA,5
"1258",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1259","Fountain","N.Name.Acc.Sg.*","NP","Fountain",NA,"Fountain",0,NA,"Fountain",NA,NA,NA,"Fountain",5
"1260",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1261","Mountain","N.Name.Acc.Sg.*","NP","Mountain",NA,"Mountain",0,NA,"Mountain",NA,NA,NA,"Mountain",5
"1262",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1263","Murrain","N.Name.Acc.Sg.*","NP","Murrain",NA,"Murrain",0,NA,"Murrain",NA,NA,NA,"Murrain",5
"1264",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1265","Plantain","N.Name.Acc.Sg.*","NN","Plantain",NA,"Plantain",0,NA,"Plantain",NA,NA,NA,"Plantain",5
"1266",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1267","Pillain","N.Name.Acc.Sg.*","NP","Pillain",NA,"Pillain",1,"Pillain",NA,NA,NA,NA,NA,5
"1268",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1269","all","FM","DT","all",NA,"all",0,NA,"all",NA,NA,NA,"all",5
"1270","which","ADJD.Pos","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",5
"1271","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA,NA,"are",5
"1272","pronounced","FM","VVN","pronounced",NA,"pronounced",0,NA,"pronounced",NA,NA,NA,"pronounced",5
"1273","Bargin","FM","NP","Bargin",NA,"Bargin",1,"Bargin",NA,NA,NA,NA,NA,5
"1274",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1275","Captin","N.Name.Nom.Sg.*","NP","Captin",NA,"Captin",1,"Captin",NA,NA,NA,NA,NA,5
"1276",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1277","Chaplin","N.Name.Nom.Sg.*","NP","Chaplin",NA,"Chaplin",1,"Chaplin",NA,NA,NA,NA,NA,5
"1278",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1279","&","FM","CC","&",NA,"&",0,NA,"&",NA,NA,NA,"&",5
"1280","c","FM","LS","c",NA,"c",0,NA,"c",NA,NA,NA,"c",5
"1281",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",5
"1282","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",5
"1283","alſo","FM","NN","also",NA,"also",0,NA,"also",NA,NA,NA,"also",5
"1284","in","FM","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",5
"1285","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",5
"1286","following","FM","VVG","following","following","following",0,NA,"following",NA,NA,NA,"following",5
"1287","Words","FM","NNS","Words",NA,"Words",0,NA,"Words",NA,NA,NA,"Words",5
"1288",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1289","weak","FM","JJ","weak",NA,"weak",0,NA,"weak",NA,NA,NA,"weak",5
"1290",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1291","ueak","FM","NN","ueak",NA,"ueak",1,"ueak",NA,NA,NA,NA,NA,5
"1292",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1293","bead","FM","NN","bead",NA,"bead",0,NA,"bead",NA,NA,NA,"bead",5
"1294",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1295","ſpread","FM","NNS","spread",NA,"spread",0,NA,"spread",NA,NA,NA,"spread",5
"1296",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1297","boat","FM","NN","boat",NA,"boat",0,NA,"boat",NA,NA,NA,"boat",5
"1298",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1299","coat","FM","NN","coat",NA,"coat",0,NA,"coat",NA,NA,NA,"coat",5
"1300",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1301","&","FM","CC","&",NA,"&",0,NA,"&",NA,NA,NA,"&",5
"1302","c","FM","LS","c",NA,"c",0,NA,"c",NA,NA,NA,"c",5
"1303",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",5
"1304","as","ADV","RB","as",NA,"as",0,NA,"as",NA,NA,NA,"as",5
"1305","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",5
"1306","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",5
"1307","mote","FM","NN","mote",NA,"mote",0,NA,"mote",NA,NA,NA,"mote",5
"1308","fully","FM","RB","fully","fully","fully",0,NA,"fully",NA,NA,NA,"fully",5
"1309","ſcen","N.Reg.Nom.Pl.Fem","JJ","scen",NA,"scen",1,"scen",NA,NA,NA,NA,NA,5
"1310","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",5
"1311","treating","FM","VVG","treating",NA,"treating",0,NA,"treating",NA,NA,NA,"treating",5
"1312","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",5
"1313","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",5
"1314","redundant","ADJD.Pos","JJ","redundant",NA,"redundant",0,NA,"redundant",NA,NA,NA,"redundant",5
"1315",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",5
"1316","It","N.Reg.Nom.Sg.Masc","PP","It",NA,"It",0,NA,"It",NA,NA,NA,"It",5
"1317","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",5
"1318","obſcure","FM","JJ","obscure",NA,"obscure",0,NA,"obscure",NA,NA,NA,"obscure",5
"1319",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1320","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",5
"1321","not","ADJD.Pos","RB","not",NA,"not",0,NA,"not",NA,NA,NA,"not",5
"1322","plainly","FM","RB","plainly",NA,"plainly",0,NA,"plainly",NA,NA,NA,"plainly",5
"1323","pronounced","FM","VVN","pronounced",NA,"pronounced",0,NA,"pronounced",NA,NA,NA,"pronounced",5
"1324","in","FM","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",5
"1325","theſe","FM","JJ","these",NA,"these",0,NA,"these",NA,NA,NA,"these",5
"1326","Words","FM","NNS","Words",NA,"Words",0,NA,"Words",NA,NA,NA,"Words",5
"1327",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1328","Carriage","FM","NN","Carriage",NA,"Carriage",0,NA,"Carriage",NA,NA,NA,"Carriage",5
"1329",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1330","Marriage","FM","NN","Marriage",NA,"Marriage",0,NA,"Marriage",NA,NA,NA,"Marriage",5
"1331",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1332","Parliament","FM","NP","Parliament",NA,"Parliament",0,NA,"Parliament",NA,NA,NA,"Parliament",5
"1333",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1334","Thoufand","FM","NP","Thoufand","Thoufand","Thoufand",1,"Thoufand",NA,NA,NA,NA,NA,5
"1335",":","SYM.Pun.Colon",":",":",NA,":",1,":",NA,NA,NA,":",":",5
"1336","Alſo","FM","NN","Also",NA,"Also",0,NA,"Also",NA,NA,NA,"Also",5
"1337","obferve","FM","NN","obferve","obferve","obferve",1,"obferve",NA,NA,NA,NA,NA,5
"1338",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1339","there","FM","EX","there",NA,"there",0,NA,"there",NA,NA,NA,"there",5
"1340","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA,NA,"are",5
"1341","mone","FM","JJ","mone",NA,"mone",0,NA,"mone",NA,NA,NA,"mone",5
"1342","but","CONJ.Coord.-","CC","but",NA,"but",0,NA,"but",NA,NA,NA,"but",5
"1343","proper","ADJD.Pos","JJ","proper",NA,"proper",0,NA,"proper",NA,NA,NA,"proper",5
"1344","Names","FM","NNS","Names",NA,"Names",1,"Names",NA,NA,"Names",NA,"Names",5
"1345","that","PRO.Dem.Subst.-.Nom.Sg.Neut","WDT","that",NA,"that",0,NA,"that",NA,NA,NA,"that",5
"1346","end","FM","VVP","end",NA,"end",0,NA,"end",NA,NA,NA,"end",5
"1347","with","FM","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with",5
"1348","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA,NA,"this",5
"1349","Vowel","FM","NN","Vowel",NA,"Vowel",0,NA,"Vowel",NA,NA,NA,"Vowel",5
"1350",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1351","except","FM","IN","except",NA,"except",0,NA,"except",NA,NA,NA,"except",5
"1352","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",5
"1353","following","FM","VVG","following","following","following",0,NA,"following",NA,NA,NA,"following",5
"1354","ſeven","N.Reg.Nom.Pl.Fem","NN","seven",NA,"seven",0,NA,"seven",NA,NA,NA,"seven",5
"1355","that","PRO.Dem.Subst.-.Acc.Sg.Neut","WDT","that",NA,"that",0,NA,"that",NA,NA,NA,"that",5
"1356","ſound","FM","VVZ","sound",NA,"sound",0,NA,"sound",NA,NA,NA,"sound",5
"1357","only","FM","RB","only",NA,"only",0,NA,"only",NA,NA,NA,"only",5
"1358","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",5
"1359","e","FM","NN","e",NA,"e",0,NA,"e",NA,NA,NA,"e",5
"1360",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1361","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",5
"1362","lea","FM","NN","lea",NA,"lea",0,NA,"lea",NA,NA,NA,"lea",5
"1363",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1364","flea","FM","NN","flea","flea","flea",0,NA,"flea",NA,NA,NA,"flea",5
"1365",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1366","plea","FM","NN","plea",NA,"plea",0,NA,"plea",NA,NA,NA,"plea",5
"1367",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1368","pea","FM","NN","pea",NA,"pea",0,NA,"pea",NA,NA,NA,"pea",5
"1369",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1370","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",5
"1371",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1372","tea","FM","NN","tea",NA,"tea",0,NA,"tea",NA,NA,NA,"tea",5
"1373",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1374","yea","FM","NN","yea",NA,"yea",0,NA,"yea",NA,NA,NA,"yea",5
"1375",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1376","which","VFIN.Full.3.Sg.Past.Ind","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",5
"1377","laſt","N.Reg.Nom.Sg.Masc","VVD","last",NA,"last",0,NA,"last",NA,NA,NA,"last",5
"1378","Word","N.Name.Nom.Sg.Masc","NP","Word",NA,"Word",0,NA,"Word",NA,NA,NA,"Word",5
"1379","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",5
"1380","become","FM","VVN","become",NA,"become",0,NA,"become",NA,NA,NA,"become",5
"1381","almoft","VPP.Full.Psp","NN","almoft","almoft","almoft",1,"almoft",NA,NA,NA,NA,NA,5
"1382","obfolete","FM","NN","obfolete","obfolete","obfolete",1,"obfolete",NA,NA,NA,NA,NA,5
"1383",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",5
"1384","It","FM","PP","It",NA,"It",0,NA,"It",NA,NA,NA,"It",5
"1385","has","FM","VHZ","has",NA,"has",0,NA,"has",NA,NA,NA,"has",5
"1386","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",5
"1387","Sound","FM","NN","Sound",NA,"Sound",0,NA,"Sound",NA,NA,NA,"Sound",5
"1388","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",5
"1389","u","CONJ.Coord.-","NN","u",NA,"u",0,NA,"u",NA,NA,NA,"u",5
"1390","at","FM","IN","at",NA,"at",0,NA,"at",NA,NA,NA,"at",5
"1391","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",5
"1392","End","N.Name.*.*.*","NN","End",NA,"End",0,NA,"End",NA,NA,NA,"End",5
"1393","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",5
"1394","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",5
"1395","following","FM","VVG","following","following","following",0,NA,"following",NA,NA,NA,"following",5
"1396","Words","FM","NNS","Words",NA,"Words",0,NA,"Words",NA,NA,NA,"Words",5
"1397",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1398","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",5
"1399","Altar","N.Reg.Acc.Sg.Masc","NN","Altar",NA,"Altar",0,NA,"Altar",NA,NA,NA,"Altar",5
"1400",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1401","Angular","N.Name.Acc.Sg.Neut","JJ","Angular",NA,"Angular",0,NA,"Angular",NA,NA,NA,"Angular",5
"1402",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1403","Calendar","N.Name.Acc.Sg.Neut","NN","Calendar",NA,"Calendar",0,NA,"Calendar",NA,NA,NA,"Calendar",5
"1404",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1405","Jocular","N.Name.Acc.Sg.Neut","JJ","Jocular",NA,"Jocular",0,NA,"Jocular",NA,NA,NA,"Jocular",5
"1406",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1407","Medlar","N.Name.Acc.Sg.Neut","NP","Medlar",NA,"Medlar",0,NA,"Medlar",NA,NA,NA,"Medlar",5
"1408",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1409","Pedlar","N.Name.Acc.Sg.Neut","NP","Pedlar",NA,"Pedlar",0,NA,"Pedlar",NA,NA,NA,"Pedlar",5
"1410",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1411","Pillar","N.Name.Acc.Sg.Neut","NP","Pillar",NA,"Pillar",0,NA,"Pillar",NA,NA,NA,"Pillar",5
"1412",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1413","Solar","FM","NP","Solar",NA,"Solar",0,NA,"Solar",NA,NA,NA,"Solar",5
"1414",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1415","Scholar","N.Reg.Nom.Sg.Masc","NN","Scholar",NA,"Scholar",0,NA,"Scholar",NA,NA,NA,"Scholar",5
"1416",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"1417","&","FM","CC","&",NA,"&",0,NA,"&",NA,NA,NA,"&",5
"1418","c","FM","LS","c",NA,"c",0,NA,"c",NA,NA,NA,"c",5
"1419",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",5
"1420","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",5
"1421","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",5
"1422","often","FM","RB","often","often","often",0,NA,"often",NA,NA,NA,"often",5
"1423","ſuperfluous","FM","JJ","superfluous","superfluous","superfluous",0,NA,"superfluous",NA,NA,NA,"superfluous",5
"1424","at","FM","IN","at",NA,"at",0,NA,"at",NA,NA,NA,"at",5
"1425","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",5
